trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,12,12.810724757774922,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",35,10,-10.134315012539732,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,10,9.760258512750942,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,10,16.479673133048593,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,18,-30.946941713734386,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,14,15.428538641688833,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,14,-60.71521746538657,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,10,2.7209652136251785,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,10,-1.9971017694862665,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,14,-31.10358989557948,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,13,18.694505855143447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
