trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.22, 'e': 0.8894442709417542}",20,10,3.149717654046082,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.22, 'e': 0.8881941729649471}",20,10,-13.328971708045025,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.22, 'e': 0.8869423130433366}",20,10,-27.885353094888526,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.22, 'e': 0.88568868370576}",30,10,-11.079407127851415,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.22, 'e': 0.8844332774281052}",20,10,-83.61450096361473,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",0
99,False,"{'a': 0.22, 'e': 0.8831760866327832}",25,10,4.108343473010487,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.22, 'e': 0.8819171036881954}",25,10,-58.65002018273631,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.22, 'e': 0.8806563209081923}",30,10,-107.98285927031408,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
102,False,"{'a': 0.22, 'e': 0.8793937305515266}",25,10,-55.852104489355234,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",0
103,False,"{'a': 0.22, 'e': 0.878129324821298}",20,10,-30.190576009104767,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.22, 'e': 0.8768630958643924}",25,10,-22.735950857784818,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.22, 'e': 0.8755950357709118}",25,10,-25.138893525905804,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",0
106,False,"{'a': 0.22, 'e': 0.8743251365735987}",25,10,-32.55065152627135,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.22, 'e': 0.8730533902472516}",20,10,-74.64995852925526,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.22, 'e': 0.8717797887081333}",20,10,-19.745245407561086,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.22, 'e': 0.8705043238133716}",20,10,-35.231928907865246,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",0
110,False,"{'a': 0.22, 'e': 0.8692269873603518}",20,14,-3.5192267379850444,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.22, 'e': 0.867947771086101}",30,10,-117.20307030662227,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
112,False,"{'a': 0.22, 'e': 0.8666666666666651}",25,10,-57.17873245146834,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",0
